**********************
Beginn des PowerShell-Transkripts
Startzeit: 20260914064413
Benutzername: MAXHAMBI\Max Hambi
RunAs-Benutzer: MAXHAMBI\Max Hambi
Konfigurationsname: 
Computer: MAXHAMBI (Microsoft Windows NT 10.0.26200.0)
Hostanwendung: C:\Program Files\PowerShell\7\pwsh.dll -NoProfile -ExecutionPolicy Bypass -Command Import-Module 'c:\Users\Max Hambi\.vscode\extensions\ms-vscode.powershell-2025.4.0\modules\PowerShellEditorServices\PowerShellEditorServices.psd1'; Start-EditorServices -HostName 'Visual Studio Code Host' -HostProfileId 'Microsoft.VSCode' -HostVersion '2025.4.0' -BundledModulesPath 'c:\Users\Max Hambi\.vscode\extensions\ms-vscode.powershell-2025.4.0\modules' -EnableConsoleRepl -StartupBanner "PowerShell Extension v2025.4.0
Copyright (c) Microsoft Corporation.

https://aka.ms/vscode-powershell
Type 'help' to get help.
" -LogLevel 'Warning' -LogPath 'c:\Users\Max Hambi\AppData\Roaming\Code\logs\20260914T051853\window1\exthost\ms-vscode.powershell' -SessionDetailsPath 'c:\Users\Max Hambi\AppData\Roaming\Code\User\globalStorage\ms-vscode.powershell\sessions\PSES-VSCode-20716-829502.json' -FeatureFlags @() 
Prozess-ID: 22828
PSVersion: 7.6.6
PSEdition: Core
GitCommitId: 7.6.6
OS: Microsoft Windows 10.0.26200
Platform: Win32NT
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1, 6.0, 7.0
PSRemotingProtocolVersion: 2.4
SerializationVersion: 1.1.0.1
WSManStackVersion: 3.0
**********************
2026-09-14 06:44:37 [info] Erstellt: 03C24.png {"dauerMs":344}
2026-09-14 06:44:37 [info] Erstellt: 03C25.png {"dauerMs":250}
2026-09-14 06:44:37 [info] Erstellt: 03C26.png {"dauerMs":266}
2026-09-14 06:44:37 [info] Erstellt: 03C27.png {"dauerMs":261}
2026-09-14 06:44:38 [info] Erstellt: 03C28.png {"dauerMs":294}
2026-09-14 06:44:38 [info] Erstellt: 03C29.png {"dauerMs":243}
2026-09-14 06:44:38 [info] Erstellt: 03C30.png {"dauerMs":279}
2026-09-14 06:44:38 [info] Erstellt: 03C31.png {"dauerMs":248}
2026-09-14 06:44:39 [info] Erstellt: 03C32.png {"dauerMs":274}
2026-09-14 06:44:39 [info] Erstellt: 03C33.png {"dauerMs":254}
2026-09-14 06:44:39 [info] Erstellt: 03C34.png {"dauerMs":272}
2026-09-14 06:44:39 [info] Erstellt: 03C35.png {"dauerMs":275}
2026-09-14 06:44:40 [info] Erstellt: 03C36.png {"dauerMs":287}
2026-09-14 06:44:40 [info] Erstellt: 03C37.png {"dauerMs":263}
2026-09-14 06:44:40 [info] Erstellt: 03C38.png {"dauerMs":274}
2026-09-14 06:44:41 [info] Erstellt: 03C39.png {"dauerMs":272}
2026-09-14 06:44:41 [info] Erstellt: 03C40.png {"dauerMs":259}
2026-09-14 06:44:41 [info] Erstellt: 03C41.png {"dauerMs":247}
2026-09-14 06:44:41 [info] Erstellt: 03C42.png {"dauerMs":258}
2026-09-14 06:44:42 [info] Erstellt: 03C43.png {"dauerMs":261}
